source_name	source_type	target_name	target_type	source_id	target_id	pmid	relation_type	resource
CYP2D6	Gene	Breast Cancer	Disease	ENTREZ:1565		29479969	GNBR::Y::Gene:Disease	CBCG
CYP3A4	Gene	Breast Cancer	Disease	ENTREZ:1576		30218411	GNBR::Y::Gene:Disease	CBCG
CYP3A5	Gene	Breast Cancer	Disease	ENTREZ:1577		19229255	GNBR::Y::Gene:Disease	CBCG
DCC	Gene	Breast Cancer	Disease	ENTREZ:1630		36424660	GNBR::Y::Gene:Disease	CBCG
DCLRE1B	Gene	Breast Cancer	Disease	ENTREZ:64858		23535729	GNBR::Y::Gene:Disease	CBCG
DCLRE1B	Gene	Breast Cancer	Disease	ENTREZ:64858		27117709	GNBR::Y::Gene:Disease	CBCG
DESI1	Gene	Breast Cancer	Disease	ENTREZ:27351		18000863	GNBR::Y::Gene:Disease	CBCG
DIRC3	Gene	Breast Cancer	Disease	ENTREZ:729582		nan	GNBR::Y::Gene:Disease	CBCG
DIRC3	Gene	Breast Cancer	Disease	ENTREZ:729582		24743323	GNBR::Y::Gene:Disease	CBCG
DIRC3	Gene	Breast Cancer	Disease	ENTREZ:729582		36356581	GNBR::Y::Gene:Disease	CBCG
DKK4	Gene	Breast Cancer	Disease	ENTREZ:27121		nan	GNBR::Y::Gene:Disease	CBCG
DLEU1	Gene	Breast Cancer	Disease	ENTREZ:10301		32139696	GNBR::Y::Gene:Disease	CBCG
DNAJC15	Gene	Breast Cancer	Disease	ENTREZ:29103		35042965	GNBR::Y::Gene:Disease	CBCG
DNMT1	Gene	Breast Cancer	Disease	ENTREZ:1786		23079992	GNBR::Y::Gene:Disease	CBCG
DOCK1	Gene	Breast Cancer	Disease	ENTREZ:1793		30323354	GNBR::Y::Gene:Disease	CBCG
DRD3	Gene	Breast Cancer	Disease	ENTREZ:1814		nan	GNBR::Y::Gene:Disease	CBCG
DROSHA	Gene	Breast Cancer	Disease	ENTREZ:29102		36911928	GNBR::Y::Gene:Disease	CBCG
