drugbank_id	status	valid
DB00691	{'approved'}	True
DB00692	{'approved'}	True
DB00693	{'approved'}	True
DB00694	{'approved'}	True
DB00695	{'approved', 'vet_approved'}	True
DB00696	{'approved'}	True
DB00697	{'approved', 'investigational'}	True
DB00698	{'approved', 'vet_approved'}	True
DB00699	{'approved', 'investigational'}	True
DB00700	{'approved'}	True
DB00701	{'approved', 'investigational'}	True
DB00702	{'approved', 'investigational'}	True
DB00703	{'approved'}	True
DB00704	{'approved', 'vet_approved', 'investigational'}	True
DB00705	{'approved'}	True
DB00706	{'approved', 'investigational'}	True
DB00707	{'approved', 'investigational'}	True
DB00708	{'approved', 'investigational'}	True
DB00709	{'approved', 'investigational'}	True
DB00710	{'approved', 'investigational'}	True
DB00711	{'approved', 'vet_approved', 'investigational'}	True
DB00712	{'approved', 'investigational'}	True
DB00713	{'approved', 'investigational'}	True
DB00714	{'approved', 'investigational'}	True
DB00715	{'approved', 'investigational'}	True
DB00716	{'approved', 'investigational'}	True
DB00717	{'approved'}	True
DB00718	{'approved', 'investigational'}	True
DB00719	{'approved'}	True
DB00720	{'approved', 'vet_approved', 'investigational'}	True
DB00721	{'approved', 'vet_approved', 'investigational'}	True
DB00722	{'approved', 'investigational'}	True
DB00723	{'approved', 'investigational'}	True
DB00724	{'approved', 'investigational'}	True
DB00725	{'approved'}	True
DB00726	{'approved'}	True
DB00727	{'approved', 'investigational'}	True
DB00728	{'approved'}	True
DB00730	{'approved', 'vet_approved'}	True
DB00731	{'approved', 'investigational'}	True
DB00732	{'approved'}	True
DB00733	{'approved', 'vet_approved'}	True
DB00734	{'approved', 'investigational'}	True
DB00735	{'approved'}	True
DB00736	{'approved', 'investigational'}	True
DB00737	{'approved'}	True
DB00738	{'approved', 'investigational'}	True
DB00739	{'approved', 'vet_approved', 'withdrawn'}	True
DB00740	{'approved', 'investigational'}	True
DB00741	{'approved', 'vet_approved'}	True
DB00742	{'approved', 'investigational'}	True
DB00743	{'approved', 'investigational'}	True
DB00744	{'approved', 'withdrawn', 'investigational'}	True
DB00745	{'approved', 'investigational'}	True
DB00746	{'approved', 'investigational'}	True
DB00747	{'approved', 'investigational'}	True
