TTDDRUID	Drug_id
D05OFX	PUBCHEM:219078
D05OIS	PUBCHEM:244
D05OQJ	PUBCHEM:4162
D05PCM	PUBCHEM:78323835
D05PHH	PUBCHEM:3447
D05PIZ	PUBCHEM:15130
D05PLH	PUBCHEM:2576
D05QDC	PUBCHEM:5284513
D05QNO	PUBCHEM:2968
D05QPW	PUBCHEM:54686350
D05RHI	PUBCHEM:6256
D05ROI	PUBCHEM:44462760
D05RXI	PUBCHEM:84088
D05SBO	PUBCHEM:46220502
D05SHK	PUBCHEM:39147
D05SJW	PUBCHEM:6172
D05TIB	PUBCHEM:5284632
D05TMQ	PUBCHEM:6464
D05UBX	PUBCHEM:42008
D05UFG	PUBCHEM:10184653
D05UVD	PUBCHEM:33624
D05UYW	PUBCHEM:5284549
D05VGL	PUBCHEM:11499245
D05VIL	PUBCHEM:5284594
D05VIX	PUBCHEM:3463
D05VLS	PUBCHEM:5090
D05VQI	PUBCHEM:2893
D05XGO	PUBCHEM:11154555
D05XQE	PUBCHEM:5282197
D05YBZ	PUBCHEM:7083
D05ZGQ	PUBCHEM:5281070
D05ZIK	PUBCHEM:4205
D05ZJG	PUBCHEM:11616712
D05ZPL	PUBCHEM:656641
D05ZSB	PUBCHEM:16132344
D05ZTH	PUBCHEM:5311181
D05ZTJ	PUBCHEM:31338
D05ZYM	PUBCHEM:439174
D06AAP	PUBCHEM:5241
D06ABF	PUBCHEM:3957
D06ACW	PUBCHEM:6083
D06AEB	PUBCHEM:3728
D06AEO	PUBCHEM:5284537
D06AGH	PUBCHEM:11707110; 44462760
D06ALD	PUBCHEM:11949646
D06AWE	PUBCHEM:644073
D06BCB	PUBCHEM:443955
D06BEP	PUBCHEM:2712
D06BLQ	PUBCHEM:5282219
D06BQU	PUBCHEM:439503
D06BYV	PUBCHEM:6839
D06CDO	PUBCHEM:65477
D06CGB	PUBCHEM:40973
D06CIE	PUBCHEM:2141
D06CNP	PUBCHEM:9821849
D06CTE	PUBCHEM:57469
D06CTM	PUBCHEM:14789
D06CVT	PUBCHEM:68870
D06CWH	PUBCHEM:5282492
D06DLI	PUBCHEM:4021
D06EEL	PUBCHEM:5282188
D06EMT	PUBCHEM:25210
D06ENM	PUBCHEM:66553195
